Aurora,Aurora_laser,NorthernLights,NorthernLights_laser,ID7000,ID7000_laser,Discover,Discover_laser,Opteon,Opteon_laser,Mosaic,Mosaic_laser,Xenith,Xenith_description,Xenith_laser,A5SE,A5SE_laser
,,,,637CH17-A,Red,,,,,,,,,,,
,,,,637CH18-A,Red,,,,,,,,,,,
,,,,637CH19-A,Red,,,,,,,,,,,
,,,,637CH20-A,Red,,,,,,,,,,,
,,,,637CH21-A,Red,,,,,,,,,,,
,,,,637CH22-A,Red,,,,,,,,,,,
,,,,637CH23-A,Red,,,,,,,,,,,
,,,,637CH24-A,Red,,,,,,,,,,,
,,,,637CH25-A,Red,,,,,,,,,,,
,,,,637CH26-A,Red,,,,,,,,,,,
,,,,637CH27-A,Red,,,,,,,,,,,
,,,,637CH28-A,Red,,,,,,,,,,,
,,,,637CH29-A,Red,,,,,,,,,,,
,,,,637CH30-A,Red,,,,,,,,,,,
,,,,637CH31-A,Red,,,,,,,,,,,
,,,,637CH32-A,Red,,,,,,,,,,,
,,,,637CH33-A,Red,,,,,,,,,,,
,,,,637CH34-A,Red,,,,,,,,,,,
,,,,637CH35-A,Red,,,,,,,,,,,
,,,,808CH36-A,IR,,,,,,,,,,,
,,,,808CH37-A,IR,,,,,,,,,,,
