fluorophore,synonym1,synonym2,synonym3,channel.Aurora,channel.NL,channel.ID7000,channel.s8,channel.opteon,channel.mosaic,channel.xenith,channel.A5SE,excitation.laser,nominal.wavelength,is.viability
SBV760,StarBright Violet 760,StarBright V760,Star Bright Violet 760,V14-A,V14-A,405CH27-A,V17 (750)-A,V757-A,V15-A,FL19-A,V750-A,Violet,760,
SBV790,StarBright Violet 790,StarBright V790,Star Bright Violet 790,V15-A,V15-A,405CH29-A,V18 (780)-A,V784-A,V17-A,FL20-A,V785-A,Violet,790,
SBY575,StarBright YellowGreen 575,StarBright Y575,Star Bright Yellow 575,YG1-A,B4-A,561CH11-A,YG1 (575)-A,Y582-A,Y1-A,FL31-A,YG585-A,YellowGreen,575,
SBY605,StarBright YellowGreen 605,StarBright Y605,Star Bright Yellow 605,YG3-A,V10-A,561CH13-A,YG3 (605)-A,Y618-A,Y3-A,FL34-A,YG602-A,YellowGreen,605,
SBY665,StarBright YellowGreen 665,StarBright Y665,Star Bright Yellow 665,YG5-A,B9-A,561CH19-A,YG5 (655)-A,Y661-A,Y5-A,FL35-A,YG670-A,YellowGreen,665,
SBY720,StarBright YellowGreen 720,StarBright Y720,Star Bright Yellow 720,YG7-A,V13-A,561CH23-A,YG8 (725)-A,Y717-A,Y7-A,FL25-A,YG730-A,YellowGreen,720,
SBY800,StarBright YellowGreen 800,StarBright Y800,Star Bright Yellow 800,YG9-A,B14-A,561CH29-A,YG10 (780)-A,Y784-A,Y9-A,FL28-A,YG780-A,YellowGreen,800,
Spark Blue 515,SB515,[SB515],SparkBlue-515,B1-A,B1-A,488CH5-A,B2 (515)-A,B508-A,B1-A,FL37-A,B510-A,Blue,515,
Spark Blue 550,SB550,[SB550],SparkBlue-550,B3-A,B3-A,488CH7-A,B4 (545)-A,B543-A,B3-A,FL36-A,B537-A,Blue,550,
Spark Blue 574,SB574,[SB574],SparkBlue-574,B4-A,B4-A,488CH11-A,B5 (575)-A,B582-A,B4-A,FL38-A,B576-A,Blue,574,
Spark PLUS Blue 574,SPB574,[SPB574],SparkPLUSBlue-574,B4-A,B4-A,488CH11-A,B5 (575)-A,B582-A,B4-A,FL38-A,B576-A,Blue,574,
Spark NIR 685,SNIR685,,SparkNIR-685,R3-A,R3-A,637CH20-A,R3 (700)-A,R700-A,R3-A,FL47-A,R680-A,Red,685,
