marker,synonym1,synonym2,synonym3,synonym4,synonym5,synonym6,synonym7,synonym8,synonym9
TCRgd,TCRgamma,Tcrg,gdTCR,gd TCR,TCR-gamma,TCR-gd,TCRgd,TCR gd,
TER119,TER-119,Ter119,TER_119,TER.119,,,,,
TGFbeta,TGF-beta,Tgfbeta,TGF,,,,,,
TIGIT,TIGIT,Tigit,,,,,,,
TIM-3,TIM-3,TIM.3,Tim3,,,,,,
TNF,TNF.alpha,Tnf,TNFa,TNF-a,TNF-alpha,TNF.alpha,TNF_alpha,TNF_a,TNF.a
TREM2,TREM2,Trem2,,,,,,,
Viability,fixable,Livedead,Viability,viable,viablity,live-dead,LD,,
XCR1,XCR1,Xcr1,,,,,,,
YFP,Yellow Fluorescent Protein,Yfp,,,,,,,
ZAP70,ZAP-70,Zap70,Zap.70,ZAP_70,,,,,
Ollas,OLLAS,,,,,,,,
VSVg,VSV-g,VSV_g,,,,,,,
C,C tag,C-tag,C_tag,,,,,,
S,S tag,S-tag,S_tag,,,,,,
SLAMF6,Slam-F6,SlamF-6,Slamf6,,,,,,
Flag,FLAG,DYKDDDDK,,,,,,,
TOX,,,,,,,,,
V5,V5 tag,V5-tag,V5_tag,,,,,,
AU1,AU1 tag,AU1-tag,AU1_tag,,,,,,
AU5,AU5 tag,AU5-tag,AU5_tag,,,,,,
NWS,NWS tag,Strep tag,Strep tag II,,,,,,
AF,AutoFluorescence,Autofluorescence,AutoF,AutoFluor,,,,,
